입력데이터,카테고리,메뉴,감성,정확도,긍부정이유,추천답변
배민 적용되는 쿠폰 둥 사용하기가 너무 편리해요,일반,기타,애매,99.7%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
개같음 ㄹㅇ 주문밀릴때 들어오면 답없음 주소라도 알려줘야 어캐만들든지하는데 선넘음 업뎃좀해요 거지같음,일반,기타,애매,99.4%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
여긴 찐입니다. 이 가격에 이 퀄리티라니. 최고예요 진짜.,가격/양,기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,최고의 찬사를 보내주셔서 감사합니다! 고객님의 따뜻한 말씀 한마디가 저희에겐 큰 보람입니다. 다음에 또 봬요! 😊
bhc이벤트해서 깔았는데 우리집근처에있는 매장이없네요ㅡ 배달비추가주고 멀리서 배달하느니 가까운데서 할인안받고 사먹는게나을듯,배달,기타,부정,98.2%,분석 결과 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,안녕하세요 사장님입니다. 배달 부분에서 불편을 드려 진심으로 사과드립니다. 해당 피드백을 바탕으로 내부 과정을 전면 재점검하겠습니다.
라이더 실시간 위치도 알려주고 음식 사진도 잘 나와있어서 좋은것 같습니다,"맛, 배달",기타,부정,99.8%,분석 결과 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,"리뷰 남겨주셔서 감사합니다. 불편을 겪으신 배달 항목은 저희 매장에서 가장 중요하게 생각하는 부분인데 실망시켜 드려 죄송하며, 즉시 시정 조치하겠습니다."
배달이 매번늦네요 차타고하니 그런거같네요 면다뿔고 다른집에배달을하질않나ㅡ 기사전화번호안나오니 고객센터 전화하면 기본10분이상걸리고 그냥다시 배민 쓸랍니다 배달사업은 쿠팡이 제일 못하네요 두번다시 안씁니다,배달,기타,부정,99.4%,분석 결과 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,불편을 드려 대단히 죄송합니다. 지적해주신 배달 요소들을 면밀히 살펴보고 동일한 문제가 재발하지 않도록 철저히 관리하겠습니다.
여긴 찐입니다. 먹으면서 계속 감탄만 나오네요. 조만간 또 올게요!,맛,기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,맛있게 드셔주셔서 정말 감사합니다! 보내주신 응원에 힘입어 오늘도 최선을 다해 조리하겠습니다. 즐거운 하루 되세요!
왜 업뎃을무조건해야쓸수있나요ㅡ 업뎃안하고도 쓸순잇어야죠 급할때 다운받아야하고용량없고.참.그럴시간에 딴어플킵니다.,"맛, 배달",기타,부정,92.4%,"분석 결과 맛, 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","불편을 드려 대단히 죄송합니다. 지적해주신 맛, 배달 요소들을 면밀히 살펴보고 동일한 문제가 재발하지 않도록 철저히 관리하겠습니다."
2019년 9월 19일 저녁 7시 경에 배달기사 난폭운전 및 보복운전 건으로 컴플레인 걸었는데 아직 연락이 없네요. 어떤 교육을 들어가고 어떤식으로 조치 되는지 확실히 답변 부탁드립니다. 겨우 전화통화로 인한 교육이 끝이라면 배달의 민족은 배달업계에서의 자질이 부족하네요. 특히 라이더의 경우에는 고객와 직접 접촉을 하는 직종인데 중요하다고 봅니다. 이 리뷰는 스크린샷 찍어 놓을테니 삭제 하지 마시길 바랍니다.,배달,분식,부정,96.9%,분석 결과 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,"리뷰 남겨주셔서 감사합니다. 불편을 겪으신 배달 항목은 저희 매장에서 가장 중요하게 생각하는 부분인데 실망시켜 드려 죄송하며, 즉시 시정 조치하겠습니다."
이건 반칙이죠. 먹는 내내 행복했습니다. 적당히 일하시고 돈세다 잠드소서.,일반,기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,"고객님, 소중한 리뷰와 칭찬 감사드립니다! 보내주신 성원에 보답하기 위해 앞으로도 변함없는 맛과 서비스로 모시겠습니다."
전체적인 양이 진짜 부실해요ㅜㅜ,가격/양,기타,부정,99.5%,분석 결과 가격/양 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,고객님의 귀한 의견 감사히 받겠습니다. 가격/양 관련 피드백은 저희 팀과 공유하여 더 나은 품질을 실천하는 계기로 삼겠습니다. 다시 한번 죄송합니다.
다좋은데. 시키고 1분동안은 배달취소할수있는 그런 기능은 없나요? ㅜ 맨날 잘못시켜서 까먹네요. 흡,배달,기타,긍정,99.6%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,최고의 찬사를 보내주셔서 감사합니다! 고객님의 따뜻한 말씀 한마디가 저희에겐 큰 보람입니다. 다음에 또 봬요! 😊
아니 이벤트창 코딩을 어떻게 짰길래 캐시삭제 안하면 쿠폰도 안뜨나요. 배달이랑 포장이랑 따로 운영할때부터 별로였는데 갈수록 실망만 커지네요,배달,기타,부정,99.3%,분석 결과 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,안녕하세요 사장님입니다. 배달 부분에서 불편을 드려 진심으로 사과드립니다. 해당 피드백을 바탕으로 내부 과정을 전면 재점검하겠습니다.
처음 사용하는데 편리하네요. 자주 애용하겠습니다.,일반,기타,애매,99.8%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
쿠팡이츠 써본진 얼마안되는데 일단 편리해요 어디서든 주문하기간단히해서 카드결제 하니 음식도 빨리오고 진작해 써볼껄 싶어요,맛,기타,긍정,99.7%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,정성 가득한 리뷰에 힘이 납니다! 만족스러운 식사가 되셨다니 정말 기쁘네요. 언제나 믿고 주문하실 수 있는 가게가 되겠습니다.
음식이 다 돼도 30분동안 배달기사 픽업이 안 되는데 무슨 음식을 시켜먹으라는 건가요,"맛, 배달",기타,부정,99.3%,"분석 결과 맛, 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","불편을 드려 대단히 죄송합니다. 지적해주신 맛, 배달 요소들을 면밀히 살펴보고 동일한 문제가 재발하지 않도록 철저히 관리하겠습니다."
업주가 잘못배달하고는 먹기싫으면 먹지말라하고 환불도 제대로 진행안되고 신고할거면 하라고 배째라하길래.관련내용 리뷰 별하나랑 남김-> 담날 업주가 바로 쿠팡이츠에 리뷰숨기기 요청 -> 내용이랑 상관없이 업주가 요청하면 백프로 해줘야한다고 리뷰 되살릴렴 이의신청하고 30일 후에 복구라고 ㅋ 고객센터는 계속 하나마나한 소리만 하고. 피해입은 소비자한테 보상 쿠폰 천원짜리 하나 전혀없고. 대응 0점 아니 마이너스 천점이고요. ㅂㅁ만 사용하렵니다 적극적 불매할 예정.앱지웁니다,배달,기타,부정,99.4%,분석 결과 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,"고객님, 소중한 피드백 감사드립니다. 말씀해주신 배달 부분을 즉시 개선하여 다음 이용 시에는 더 만족스러운 경험을 드릴 수 있도록 최선을 다하겠습니다."
다양한 종류가 있고 배달도 잘 되요.,"배달, 가격/양",기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,와우! 별 5개와 좋은 리뷰 너무나 감사드립니다. 고객님의 단골 메뉴가 될 수 있도록 항상 정성을 다하겠습니다. 감사합니다!
간은 딱 맞아요! 그렇지만 날파리가 날아다녀요 다시는 안 갈래요,맛,기타,부정,99.5%,분석 결과 맛 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,불편을 드려 대단히 죄송합니다. 지적해주신 맛 요소들을 면밀히 살펴보고 동일한 문제가 재발하지 않도록 철저히 관리하겠습니다.
별한개 주기도 아깝다 배달 40분뒤 도착이라고 띄워놓고 오지도 않았는데 배달완료뜨고 1시간반째 기다리는데 연락도 없고 환불도 못하게 해서 전화하니깐 이제 준비하겠다 하는 쓰레기 어플,"맛, 배달",기타,부정,99.5%,"분석 결과 맛, 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","안녕하세요 사장님입니다. 맛, 배달 부분에서 불편을 드려 진심으로 사과드립니다. 해당 피드백을 바탕으로 내부 과정을 전면 재점검하겠습니다."
로그인 필요한 이벤트는 항상 앱에서는 로그인이 안됨. 계속 로그인하라고 뜸. 개불편 이벤 참여하지 말란거지. 계정 하나고 인증 다 했어요. 그냥 계속 로그인하라고만 나옴요,일반,기타,애매,99.4%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
업데이트 왜 이런식으로 하지? 그전 버전은 실행잘되었는데 업데이트 후 안들어 가지네?! 주문도 안되고 저녁6시간 넘어가니 현재주문이 많아 알림뜨면서 어플 강제종료 이용도 못하네 ㅋ 요기패스 해지도 못하네 ㅋ 예전버전 요기요로 돌려놔라,"맛, 배달",기타,부정,99.4%,"분석 결과 맛, 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","고객님의 귀한 의견 감사히 받겠습니다. 맛, 배달 관련 피드백은 저희 팀과 공유하여 더 나은 품질을 실천하는 계기로 삼겠습니다. 다시 한번 죄송합니다."
간편하고 편리한게 좋네요,맛,기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,와우! 별 5개와 좋은 리뷰 너무나 감사드립니다. 고객님의 단골 메뉴가 될 수 있도록 항상 정성을 다하겠습니다. 감사합니다!
몇년동안 계속 썼던 앱인데 너무 실망해서 더 이상 안쓰려고 회원탈퇴했어요! 맛있게 먹고 감사하는 마음으로 리뷰썼는데 뭐 개인정보를 포함한 내용을 작성할수 없다는 창이 계속 떠서 몇번이나 수정한지 몰아요! 어떤 문구 어떤 단어땜에 이런 창을 계속 뜨는지 몰라서 작성한 리뷰 캡쳐해서 요기요 관계자 보시라고 음식 리뷰 사진하고 같이 업로드했는데 삭제되었네요! 참 어이가 없네요.문제가 생기면 해결하지 않고 질문을 그냥 삭제만 하면 끝인까요？,맛,기타,긍정,99.4%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,최고의 찬사를 보내주셔서 감사합니다! 고객님의 따뜻한 말씀 한마디가 저희에겐 큰 보람입니다. 다음에 또 봬요! 😊
결제도편하고 요기요밖에사용하지않습니다 솔직한후기 쿠폰도적당히주고요 편한앱입니다,일반,기타,애매,99.6%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
